
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,22.24,16.36,19.3,23.82,3.8,24.12,20.31
2018,1,2,20.8,18.09,19.45,23.46,1.16,21.27,20.12
2018,1,3,18.75,16.06,17.4,22.86,8.32,22.01,13.69
2018,1,4,12.93,7.9,10.42,20.89,5.65,15.35,9.71
2018,1,5,14.32,9.44,11.88,20.55,4.87,16.51,11.64
2018,1,6,18.16,13.4,15.78,21.25,3.03,19.68,16.65
2018,1,7,19.68,14.69,17.18,21.76,2.71,20.75,18.03
2018,1,8,21.97,17.93,19.94,22.48,2.25,22.88,20.64
2018,1,9,22.58,19.8,21.19,22.79,1.44,23.44,22.01
2018,1,10,22.71,19.4,21.06,22.83,1.83,23.61,21.78
2018,1,11,22.9,20.19,21.55,23.14,2.25,23.92,21.67
2018,1,12,23.78,21.82,22.8,23.65,2.27,25.08,22.81
2018,1,13,21.01,17.05,19.03,23.1,5.34,22.66,17.33
2018,1,14,18.56,14.7,16.63,22.12,4.82,20.8,15.98
2018,1,15,20.36,15.99,18.18,22.17,3.84,22.22,18.37
2018,1,16,20.94,15.17,18.05,22.24,1.69,21.9,20.23
2018,1,17,20.05,15.06,17.55,22.01,6.54,21.71,15.17
2018,1,18,14.87,10.9,12.89,20.58,6.67,17.42,10.75
2018,1,19,18.8,14.37,16.58,21.27,3.06,20.04,16.98
2018,1,20,21.05,16.05,18.55,21.83,2.19,22.05,19.86
2018,1,21,22.32,18.78,20.55,22.32,2.09,23.32,21.24
2018,1,22,22.83,19.55,21.19,22.82,1.57,23.68,22.11
2018,1,23,23.58,21.58,22.58,23.4,1.91,24.65,22.75
2018,1,24,22.75,20.94,21.84,23.55,2.58,24.03,21.45
2018,1,25,21.98,16.99,19.49,23.15,1.12,22.65,21.53
2018,1,26,21.79,16.3,19.04,23.0,1.02,22.33,21.31
2018,1,27,22.71,17.53,20.12,23.13,1.59,23.33,21.74
2018,1,28,23.65,19.74,21.69,23.57,1.23,24.24,23.01
2018,1,29,23.76,21.54,22.65,23.69,2.89,24.62,21.73
2018,1,30,19.11,14.38,16.74,22.43,3.03,21.14,18.11
2018,1,31,19.46,13.65,16.55,22.12,2.38,20.43,18.05
2018,2,1,21.59,15.18,18.39,22.58,2.43,22.7,20.26
2018,2,2,22.65,16.91,19.78,22.99,2.58,24.12,21.53
2018,2,3,21.72,17.99,19.85,22.9,1.36,22.33,20.98
2018,2,4,22.88,19.9,21.39,23.35,2.16,24.02,21.86
2018,2,5,22.87,20.21,21.54,23.69,2.05,24.07,22.02
2018,2,6,22.97,19.44,21.21,23.66,1.95,23.73,21.79
2018,2,7,23.77,20.73,22.26,24.08,1.41,24.52,23.12
2018,2,8,23.74,21.01,22.38,24.23,1.88,24.88,23.0
2018,2,9,23.94,20.83,22.39,24.39,1.7,24.8,23.1
2018,2,10,24.23,20.29,22.26,24.54,1.51,25.05,23.54
2018,2,11,24.64,21.52,23.08,24.74,1.88,25.59,23.72
2018,2,12,24.57,21.3,22.94,24.78,1.8,25.56,23.76
2018,2,13,24.29,20.85,22.57,24.75,1.8,25.35,23.55
2018,2,14,24.16,19.12,21.64,24.84,1.7,25.08,23.37
2018,2,15,23.35,16.93,20.14,24.47,2.17,24.46,22.29
2018,2,16,23.47,17.53,20.5,24.39,3.17,25.23,22.05
2018,2,17,23.83,18.5,21.16,24.69,2.71,25.25,22.54
2018,2,18,24.08,19.84,21.97,24.91,1.62,25.05,23.42
2018,2,19,24.44,20.22,22.33,25.06,1.59,25.2,23.62
2018,2,20,24.83,21.51,23.18,25.22,1.38,25.59,24.2
2018,2,21,24.66,20.31,22.48,25.18,1.06,25.26,24.19
2018,2,22,24.44,20.21,22.32,25.05,1.57,25.33,23.76
2018,2,23,24.23,19.9,22.06,25.01,1.46,25.06,23.6
2018,2,24,24.19,20.1,22.15,25.1,1.87,25.11,23.24
2018,2,25,24.4,20.23,22.32,25.23,2.16,25.47,23.31
2018,2,26,24.8,20.02,22.41,25.45,2.09,25.92,23.83
2018,2,27,24.33,20.04,22.19,25.52,2.59,25.8,23.22
2018,2,28,23.87,19.44,21.65,25.49,1.43,24.61,23.18
2018,3,1,24.55,19.27,21.91,25.5,2.64,25.77,23.14
2018,3,2,24.64,20.06,22.35,25.62,4.77,27.62,22.86
2018,3,3,22.07,14.99,18.53,24.72,4.16,23.96,19.8
2018,3,4,20.89,13.89,17.39,24.08,3.48,22.84,19.36
2018,3,5,20.9,12.94,16.92,23.87,2.55,22.12,19.57
2018,3,6,22.08,15.08,18.58,24.1,2.67,23.34,20.67
2018,3,7,23.4,18.18,20.79,24.32,4.38,25.13,20.75
2018,3,8,19.37,11.49,15.43,23.32,3.9,21.36,17.47
2018,3,9,18.05,11.27,14.66,22.75,5.38,20.54,15.15
2018,3,10,21.41,16.1,18.76,23.26,3.38,23.01,19.62
2018,3,11,24.2,20.93,22.57,24.31,4.34,26.4,22.06
2018,3,12,23.49,19.58,21.54,24.19,8.07,25.51,17.44
2018,3,13,18.78,11.15,14.97,23.03,4.63,20.9,16.26
2018,3,14,19.59,10.63,15.11,22.95,4.07,21.82,17.74
2018,3,15,19.28,9.67,14.48,22.89,4.99,21.37,16.37
2018,3,16,21.22,12.46,16.83,23.41,2.72,22.67,19.95
2018,3,17,22.55,16.37,19.47,24.01,3.33,24.21,20.88
2018,3,18,23.78,19.05,21.41,24.61,4.37,26.21,21.83
2018,3,19,24.96,21.39,23.18,25.22,3.98,26.99,23.01
2018,3,20,25.52,22.18,23.85,25.57,3.6,27.53,23.93
2018,3,21,22.76,16.37,19.56,24.87,6.79,25.09,18.3
2018,3,22,19.24,9.4,14.32,23.5,4.38,21.72,17.34
2018,3,23,20.13,10.97,15.55,23.29,4.37,22.34,17.98
2018,3,24,21.48,14.28,17.88,23.6,2.15,22.45,20.3
2018,3,25,22.91,16.57,19.74,24.1,2.91,24.48,21.57
2018,3,26,23.17,18.29,20.73,24.41,4.48,25.37,20.9
2018,3,27,22.19,16.3,19.25,24.22,0.77,22.54,21.76
2018,3,28,22.63,16.17,19.4,24.21,1.48,23.38,21.9
2018,3,29,23.3,17.56,20.43,24.31,2.12,24.32,22.2
2018,3,30,23.82,18.38,21.1,24.55,2.27,24.98,22.71
2018,3,31,24.03,18.91,21.47,24.76,1.72,25.06,23.34
2018,4,1,23.87,19.52,21.69,25.05,1.8,24.73,22.94
2018,4,2,24.19,19.36,21.77,25.42,2.29,25.38,23.09
2018,4,3,24.28,19.71,22.0,25.56,2.15,25.37,23.22
2018,4,4,25.27,20.62,22.94,26.04,2.98,26.73,23.75
2018,4,5,24.26,20.62,22.44,25.84,2.1,25.19,23.08
2018,4,6,24.26,20.09,22.18,25.86,1.8,25.12,23.31
2018,4,7,25.68,20.73,23.2,26.13,3.68,27.33,23.65
2018,4,8,25.98,21.8,23.89,26.41,3.03,27.49,24.46
2018,4,9,26.69,22.73,24.71,26.84,3.25,28.19,24.94
2018,4,10,26.51,22.49,24.5,26.99,3.52,28.33,24.82
2018,4,11,24.83,21.04,22.94,26.71,2.77,26.26,23.48
2018,4,12,24.08,17.77,20.93,26.25,2.08,25.08,23.01
2018,4,13,24.35,18.3,21.33,26.02,2.26,25.44,23.18
2018,4,14,25.87,20.75,23.31,26.44,2.62,26.98,24.37
2018,4,15,26.51,23.16,24.83,26.7,2.05,27.64,25.58
2018,4,16,23.23,16.13,19.68,25.87,5.37,25.67,20.3
2018,4,17,21.17,14.69,17.93,25.04,6.05,24.11,18.05
2018,4,18,23.31,16.98,20.14,25.35,3.03,24.72,21.69
2018,4,19,24.5,17.99,21.24,25.87,2.8,25.94,23.14
2018,4,20,25.05,19.95,22.5,26.35,4.25,27.19,22.94
2018,4,21,25.41,21.34,23.38,26.37,1.6,26.28,24.68
2018,4,22,25.62,22.29,23.95,26.22,1.37,26.28,24.91
2018,4,23,25.93,22.73,24.33,26.23,1.36,26.72,25.36
2018,4,24,26.44,22.62,24.54,26.6,3.36,28.29,24.93
2018,4,25,24.38,18.5,21.44,26.45,4.83,26.86,22.03
2018,4,26,24.2,18.05,21.13,26.45,5.11,26.43,21.32
2018,4,27,25.68,21.27,23.48,26.77,2.3,27.13,24.83
2018,4,28,24.62,18.54,21.58,26.33,5.32,27.14,21.82
2018,4,29,25.39,18.58,21.98,26.72,2.62,26.66,24.05
2018,4,30,25.36,17.99,21.68,26.58,1.65,26.13,24.48
2018,5,1,24.97,19.3,22.13,26.43,1.89,25.83,23.94
2018,5,2,25.09,20.57,22.83,26.42,1.07,25.62,24.55
2018,5,3,25.55,21.44,23.5,26.51,1.78,26.37,24.59
2018,5,4,25.24,20.51,22.87,26.53,1.23,25.92,24.69
2018,5,5,25.76,22.07,23.92,26.59,2.27,26.86,24.58
2018,5,6,26.61,22.44,24.52,27.17,2.77,28.11,25.33
2018,5,7,26.26,21.94,24.1,27.45,3.24,28.26,25.02
2018,5,8,25.98,20.69,23.33,27.18,1.9,26.91,25.01
2018,5,9,25.56,19.76,22.66,26.94,2.19,26.73,24.54
2018,5,10,25.46,19.47,22.47,26.76,2.12,26.49,24.37
2018,5,11,25.59,19.15,22.37,26.54,1.16,26.27,25.12
2018,5,12,25.22,21.32,23.26,26.15,1.15,25.78,24.63
2018,5,13,25.0,22.98,23.99,25.98,1.1,25.51,24.4
2018,5,14,25.2,22.8,24.0,25.9,1.84,25.96,24.12
2018,5,15,25.68,22.75,24.21,26.25,2.94,27.17,24.23
2018,5,16,26.09,23.08,24.58,26.47,3.09,27.44,24.34
2018,5,17,25.62,23.52,24.57,26.33,1.45,26.24,24.8
2018,5,18,25.73,22.76,24.24,26.27,1.58,26.63,25.05
2018,5,19,24.98,22.38,23.68,25.94,1.55,25.89,24.33
2018,5,20,25.57,22.74,24.15,25.91,1.55,26.13,24.58
2018,5,21,25.73,22.53,24.13,25.91,1.34,26.28,24.94
2018,5,22,25.88,22.3,24.09,26.03,0.7,26.26,25.55
2018,5,23,26.05,22.69,24.37,26.39,1.37,26.72,25.35
2018,5,24,26.12,23.01,24.56,26.4,0.96,26.69,25.73
2018,5,25,25.75,22.76,24.25,26.26,0.95,26.27,25.32
2018,5,26,25.53,22.88,24.21,26.2,1.02,25.94,24.91
2018,5,27,26.34,24.4,25.37,26.55,1.17,26.9,25.73
2018,5,28,26.33,24.37,25.36,26.53,0.47,26.62,26.15
2018,5,29,26.61,23.75,25.18,26.74,1.4,27.4,26.0
2018,5,30,27.08,24.66,25.87,27.15,1.61,27.98,26.37
2018,5,31,26.66,23.82,25.24,27.12,1.12,27.16,26.05
2018,6,1,26.98,21.76,24.37,27.5,1.95,28.06,26.11
2018,6,2,27.11,21.79,24.44,27.8,2.84,28.73,25.88
2018,6,3,27.9,23.76,25.83,28.38,3.38,29.73,26.36
2018,6,4,27.98,24.19,26.08,28.39,3.7,29.71,26.01
2018,6,5,28.05,24.09,26.07,28.41,3.48,29.73,26.26
2018,6,6,27.98,23.51,25.74,28.58,3.19,29.73,26.54
2018,6,7,27.35,24.01,25.68,28.2,1.48,28.12,26.65
2018,6,8,27.5,23.4,25.44,27.99,1.12,28.14,27.03
2018,6,9,27.33,23.64,25.48,27.94,0.84,27.77,26.94
2018,6,10,27.34,23.35,25.35,27.9,0.74,27.71,26.96
2018,6,11,26.81,22.97,24.89,27.81,0.74,27.12,26.38
2018,6,12,27.06,23.75,25.4,27.76,0.91,27.54,26.62
2018,6,13,27.51,23.62,25.57,27.7,0.83,27.93,27.1
2018,6,14,27.17,23.11,25.14,27.73,1.22,27.89,26.67
2018,6,15,27.41,23.26,25.33,27.85,1.92,28.59,26.67
2018,6,16,27.98,23.34,25.66,28.37,2.46,29.19,26.73
2018,6,17,28.2,22.99,25.6,28.61,1.64,29.26,27.62
2018,6,18,28.16,23.62,25.89,28.93,1.46,28.87,27.4
2018,6,19,27.65,23.3,25.47,29.07,1.63,28.58,26.95
2018,6,20,28.29,22.76,25.52,29.48,2.41,29.64,27.23
2018,6,21,29.28,24.51,26.9,29.83,2.8,30.87,28.07
2018,6,22,29.1,23.9,26.5,29.84,2.64,30.64,28.0
2018,6,23,28.61,24.68,26.65,29.59,1.34,29.25,27.91
2018,6,24,28.2,24.3,26.26,29.41,1.43,29.07,27.64
2018,6,25,28.46,23.99,26.23,29.28,1.8,29.34,27.54
2018,6,26,28.41,23.83,26.12,29.22,1.38,29.12,27.75
2018,6,27,28.8,23.12,25.97,29.63,2.25,30.08,27.83
2018,6,28,28.37,24.15,26.26,29.44,2.52,29.87,27.34
2018,6,29,28.55,24.22,26.38,29.48,2.1,29.61,27.51
2018,6,30,28.7,24.43,26.57,29.31,0.99,29.16,28.17
2018,7,1,29.06,24.14,26.6,29.4,1.41,29.79,28.39
2018,7,2,28.84,23.65,26.25,29.54,1.52,29.68,28.15
2018,7,3,28.63,23.54,26.08,29.58,2.18,29.8,27.62
2018,7,4,28.42,22.92,25.67,29.44,1.59,29.27,27.68
2018,7,5,28.77,23.78,26.27,29.33,1.66,29.44,27.79
2018,7,6,28.62,23.15,25.89,29.14,1.48,29.3,27.82
2018,7,7,28.74,22.91,25.83,29.23,1.56,29.48,27.91
2018,7,8,28.67,23.87,26.26,29.24,1.48,29.37,27.9
2018,7,9,29.08,23.35,26.21,29.39,1.96,30.16,28.21
2018,7,10,28.33,23.47,25.9,29.3,1.39,29.14,27.75
2018,7,11,28.23,23.46,25.85,29.3,1.63,29.03,27.4
2018,7,12,28.53,23.12,25.82,29.53,2.86,29.96,27.1
2018,7,13,28.98,23.31,26.15,29.51,1.89,30.02,28.13
2018,7,14,28.76,22.6,25.69,29.75,2.73,30.18,27.44
2018,7,15,28.95,21.53,25.24,30.08,2.0,30.05,28.05
2018,7,16,29.32,24.25,26.79,30.09,1.85,30.33,28.48
2018,7,17,29.34,24.63,26.98,29.96,1.02,29.8,28.78
2018,7,18,29.46,24.58,27.02,29.98,1.55,30.3,28.75
2018,7,19,29.74,24.37,27.05,30.23,2.52,31.12,28.61
2018,7,20,29.4,25.14,27.27,29.97,1.54,30.18,28.64
2018,7,21,29.99,24.27,27.13,30.09,3.41,31.9,28.49
