
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,25.4,20.76,23.08,25.85,11.57,31.62,20.05
2018,1,2,26.25,21.35,23.8,26.23,11.84,32.3,20.46
2018,1,3,25.62,21.83,23.72,25.78,9.66,31.22,21.56
2018,1,4,22.91,20.46,21.69,23.4,7.73,27.49,19.76
2018,1,5,22.76,21.08,21.91,22.89,6.82,26.41,19.59
2018,1,6,23.81,21.36,22.58,23.84,6.34,27.53,21.19
2018,1,7,23.02,21.3,22.16,23.04,5.41,26.37,20.96
2018,1,8,22.65,20.69,21.68,22.83,5.95,26.21,20.26
2018,1,9,23.57,20.15,21.86,23.93,10.9,29.51,18.61
2018,1,10,23.78,19.88,21.83,24.12,10.99,29.75,18.76
2018,1,11,22.73,19.23,20.98,22.82,9.81,27.54,17.72
2018,1,12,23.48,20.66,22.07,23.61,6.97,27.51,20.55
2018,1,13,24.08,21.19,22.64,23.98,8.59,28.56,19.97
2018,1,14,24.33,21.29,22.81,24.26,7.91,28.37,20.46
2018,1,15,24.28,21.7,22.99,24.28,7.38,28.74,21.36
2018,1,16,24.83,21.74,23.28,24.94,8.68,29.87,21.19
2018,1,17,25.57,21.83,23.7,25.6,9.64,30.65,21.0
2018,1,18,26.06,20.19,23.13,26.09,12.19,32.89,20.7
2018,1,19,25.38,20.44,22.91,25.69,11.16,31.66,20.51
2018,1,20,24.97,21.4,23.19,25.05,9.25,30.54,21.29
2018,1,21,25.58,20.95,23.26,25.69,10.98,31.59,20.62
2018,1,22,24.75,21.4,23.07,24.82,7.32,28.84,21.52
2018,1,23,25.48,21.3,23.38,25.66,9.8,30.86,21.05
2018,1,24,25.65,21.16,23.4,25.76,9.38,30.92,21.55
2018,1,25,25.09,21.23,23.15,25.4,9.38,30.8,21.43
2018,1,26,24.48,21.51,22.99,24.84,7.94,29.19,21.26
2018,1,27,23.26,20.65,21.95,23.65,7.43,27.89,20.46
2018,1,28,24.09,20.58,22.33,24.36,8.67,28.98,20.3
2018,1,29,24.69,22.1,23.4,24.76,8.67,29.76,21.09
2018,1,30,22.69,21.3,21.99,22.79,6.46,25.65,19.18
2018,1,31,21.6,18.63,20.12,22.14,8.5,26.69,18.19
2018,2,1,21.86,18.88,20.37,22.18,9.33,26.8,17.47
2018,2,2,22.37,18.76,20.57,22.62,9.22,27.66,18.44
2018,2,3,22.59,19.46,21.03,23.0,8.48,27.48,18.99
2018,2,4,21.09,18.05,19.57,21.39,6.62,24.99,18.37
2018,2,5,20.98,19.67,20.32,21.15,5.27,24.17,18.9
2018,2,6,21.63,20.43,21.03,21.77,6.12,25.37,19.26
2018,2,7,22.44,20.16,21.3,22.81,7.77,27.32,19.55
2018,2,8,23.58,19.63,21.6,23.84,10.73,29.81,19.08
2018,2,9,24.74,20.9,22.83,25.03,12.73,31.45,18.72
2018,2,10,25.73,22.3,24.02,25.87,10.35,31.65,21.3
2018,2,11,26.41,22.12,24.26,26.58,9.94,31.99,22.05
2018,2,12,26.25,21.95,24.1,26.45,10.06,31.69,21.63
2018,2,13,24.41,21.38,22.9,24.64,6.99,28.69,21.71
2018,2,14,24.41,21.3,22.86,24.55,7.48,28.78,21.3
2018,2,15,22.76,20.52,21.65,22.94,6.65,26.65,20.01
2018,2,16,23.25,19.94,21.59,23.74,9.71,28.48,18.76
2018,2,17,23.37,20.08,21.73,23.76,8.66,28.41,19.75
2018,2,18,23.05,20.76,21.9,23.21,7.38,27.3,19.93
2018,2,19,23.66,21.23,22.44,23.94,8.95,28.62,19.66
2018,2,20,24.41,22.05,23.23,24.48,8.01,28.82,20.81
2018,2,21,25.14,22.51,23.83,25.23,8.02,29.83,21.81
2018,2,22,24.87,22.82,23.84,25.06,7.11,29.28,22.17
2018,2,23,22.72,20.69,21.7,23.09,6.66,26.65,19.99
2018,2,24,21.52,19.69,20.61,21.87,6.52,25.69,19.16
2018,2,25,22.38,19.54,20.96,22.8,8.88,27.47,18.6
2018,2,26,23.09,20.5,21.8,23.23,8.68,27.58,18.9
2018,2,27,23.26,21.73,22.5,23.3,6.7,27.08,20.38
2018,2,28,24.8,21.84,23.32,25.15,9.25,30.49,21.25
2018,3,1,24.48,21.94,23.21,24.66,7.99,29.28,21.29
2018,3,2,23.97,22.5,23.23,24.01,5.11,27.12,22.01
2018,3,3,24.65,22.44,23.55,24.74,7.68,29.55,21.87
2018,3,4,24.9,22.11,23.51,25.15,8.49,30.26,21.76
2018,3,5,24.47,22.13,23.3,24.76,7.58,28.91,21.33
2018,3,6,24.62,21.64,23.13,24.94,9.7,30.05,20.35
2018,3,7,24.49,21.79,23.14,24.7,8.35,29.96,21.61
2018,3,8,22.94,21.12,22.03,23.28,6.35,27.02,20.66
2018,3,9,22.34,20.65,21.5,22.59,6.09,25.8,19.72
2018,3,10,21.93,20.15,21.04,22.18,8.02,26.31,18.29
2018,3,11,22.94,20.57,21.76,23.05,8.2,27.84,19.64
2018,3,12,23.73,19.25,21.49,23.33,12.17,30.07,17.89
2018,3,13,23.53,20.33,21.93,23.83,10.9,30.24,19.35
2018,3,14,25.33,22.24,23.79,25.44,12.0,31.72,19.72
2018,3,15,25.27,22.78,24.03,25.26,8.21,29.89,21.68
2018,3,16,24.99,22.97,23.98,25.01,6.55,29.2,22.65
2018,3,17,23.42,21.37,22.39,23.83,8.13,27.88,19.75
2018,3,18,23.66,20.4,22.03,24.01,11.11,29.62,18.51
2018,3,19,25.76,21.56,23.66,25.59,12.26,32.44,20.18
2018,3,20,25.08,22.23,23.65,25.23,9.3,30.7,21.4
2018,3,21,24.78,22.25,23.51,24.94,6.63,28.83,22.19
2018,3,22,22.55,21.44,21.99,22.76,4.05,24.83,20.77
2018,3,23,23.96,21.02,22.49,24.22,9.59,29.3,19.71
2018,3,24,23.36,20.04,21.7,23.6,8.6,28.44,19.84
2018,3,25,23.37,19.9,21.64,23.58,10.02,28.98,18.96
2018,3,26,23.81,20.16,21.98,24.02,10.05,29.76,19.72
2018,3,27,23.12,19.65,21.39,23.39,10.47,28.9,18.44
