
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2018,1,1,27.68,21.45,24.56,29.3,7.32,31.93,24.61
2018,1,2,27.6,20.86,24.23,29.29,7.48,32.05,24.57
2018,1,3,27.59,20.74,24.16,29.16,7.95,32.16,24.22
2018,1,4,27.61,20.67,24.14,29.12,7.16,31.9,24.74
2018,1,5,27.58,21.42,24.5,29.13,6.52,31.37,24.84
2018,1,6,27.34,21.4,24.37,28.89,7.1,31.38,24.29
2018,1,7,27.22,21.48,24.35,28.8,5.86,30.78,24.91
2018,1,8,26.69,21.45,24.08,28.22,5.6,30.1,24.5
2018,1,9,26.39,21.62,24.0,27.75,6.5,30.51,24.01
2018,1,10,26.56,22.5,24.53,27.27,4.54,29.37,24.83
2018,1,11,26.66,21.71,24.19,28.15,6.09,30.33,24.24
2018,1,12,26.87,21.61,24.23,28.7,6.8,30.81,24.01
2018,1,13,27.14,21.76,24.45,28.6,6.21,30.71,24.51
2018,1,14,27.18,22.51,24.84,28.47,5.86,30.59,24.73
2018,1,15,27.22,21.69,24.45,28.51,5.95,30.48,24.53
2018,1,16,27.32,20.23,23.77,28.58,6.21,30.99,24.78
2018,1,17,27.44,21.64,24.54,28.78,6.57,31.29,24.72
2018,1,18,27.19,22.58,24.88,28.32,5.33,30.35,25.02
2018,1,19,27.01,22.91,24.96,27.81,4.96,30.09,25.13
2018,1,20,26.78,22.05,24.41,27.83,5.35,30.05,24.7
2018,1,21,26.98,21.38,24.18,28.17,6.41,30.73,24.32
2018,1,22,26.32,21.73,24.02,27.03,4.02,28.76,24.74
2018,1,23,26.88,22.47,24.67,27.73,5.18,30.01,24.83
2018,1,24,26.38,22.01,24.2,27.04,4.37,28.98,24.61
2018,1,25,26.78,21.67,24.23,27.78,5.68,30.03,24.35
2018,1,26,27.21,21.19,24.2,28.51,6.55,30.96,24.42
2018,1,27,27.2,21.38,24.3,28.48,5.8,30.87,25.06
2018,1,28,26.91,21.83,24.37,28.48,6.31,30.56,24.26
2018,1,29,27.45,21.89,24.67,28.83,6.29,31.31,25.02
2018,1,30,27.2,21.65,24.42,28.84,7.25,31.44,24.19
2018,1,31,27.58,21.82,24.7,28.85,6.98,31.52,24.53
2018,2,1,27.68,21.65,24.66,29.02,6.81,31.69,24.88
2018,2,2,27.74,21.82,24.78,29.16,6.81,31.82,25.01
2018,2,3,27.47,20.84,24.15,28.91,7.07,31.51,24.44
2018,2,4,27.65,20.69,24.16,29.1,6.9,31.82,24.92
2018,2,5,27.77,21.78,24.77,29.19,6.92,31.89,24.98
2018,2,6,27.85,22.48,25.16,29.48,6.79,31.77,24.98
2018,2,7,28.23,22.51,25.37,29.92,6.97,32.43,25.46
2018,2,8,28.15,22.07,25.12,29.76,6.19,32.02,25.83
2018,2,9,27.55,22.98,25.26,28.76,5.77,31.07,25.3
2018,2,10,27.3,21.78,24.54,28.58,6.05,31.04,24.99
2018,2,11,27.06,21.07,24.06,28.58,7.02,31.2,24.17
2018,2,12,27.09,21.33,24.22,28.92,7.85,31.8,23.94
2018,2,13,26.69,22.9,24.79,28.1,5.71,30.26,24.55
2018,2,14,26.8,22.56,24.68,27.71,4.32,29.58,25.26
2018,2,15,26.41,22.58,24.5,27.24,4.36,28.9,24.54
2018,2,16,26.87,23.22,25.04,27.41,3.84,29.27,25.42
2018,2,17,26.83,23.3,25.07,27.48,4.59,29.69,25.09
2018,2,18,26.83,23.26,25.04,27.73,5.06,29.96,24.9
2018,2,19,26.93,22.33,24.62,27.98,5.6,30.29,24.69
2018,2,20,27.01,22.36,24.69,28.22,5.72,30.29,24.58
2018,2,21,27.25,21.33,24.29,28.44,6.41,31.02,24.62
2018,2,22,27.06,22.48,24.77,28.34,6.38,30.64,24.26
2018,2,23,27.27,22.04,24.65,28.71,6.41,31.13,24.73
2018,2,24,27.05,21.4,24.22,28.46,6.52,30.99,24.47
2018,2,25,26.9,21.33,24.12,28.34,5.91,30.39,24.48
2018,2,26,27.17,21.35,24.26,28.65,6.99,31.2,24.22
2018,2,27,27.01,22.02,24.51,28.58,6.47,30.79,24.32
2018,2,28,26.92,22.62,24.77,28.3,5.85,30.52,24.67
2018,3,1,27.33,22.42,24.87,28.71,5.92,30.85,24.93
2018,3,2,27.47,22.29,24.87,28.87,6.09,31.08,24.98
2018,3,3,27.29,22.44,24.86,28.86,6.27,30.83,24.56
2018,3,4,27.76,22.4,25.08,29.17,6.33,31.47,25.14
2018,3,5,27.97,22.99,25.48,29.48,6.66,31.85,25.19
2018,3,6,28.06,23.05,25.56,29.4,6.5,31.89,25.39
2018,3,7,28.35,22.46,25.4,29.71,7.06,32.55,25.49
2018,3,8,28.29,22.11,25.19,29.55,7.23,32.48,25.24
2018,3,9,28.17,21.33,24.76,29.55,7.09,32.44,25.33
2018,3,10,28.05,21.25,24.65,29.55,6.77,32.17,25.4
2018,3,11,28.25,21.63,24.94,29.9,7.94,32.95,25.01
2018,3,12,28.51,22.8,25.65,29.88,8.09,33.35,25.26
2018,3,13,28.37,22.97,25.67,29.71,7.28,32.76,25.48
2018,3,14,28.3,22.23,25.26,29.71,6.5,32.2,25.7
2018,3,15,27.74,21.15,24.45,29.19,7.23,32.06,24.83
2018,3,16,27.48,20.4,23.94,29.01,7.8,32.0,24.2
2018,3,17,27.98,20.05,24.02,29.43,8.43,32.79,24.36
2018,3,18,28.12,20.64,24.38,29.69,7.34,32.58,25.23
